,Incident Name,County,Administrative Unit,Acres Burned,Crews Involved,Dozers,Engines,Fatalities,Helicopters,Injuries,Personnel Involved,Structures Damaged,Structures Destroyed,Structures Threatened,Water Tenders,Fire Started,Fire Extinguished,Longitude,Latitude,Incident ID
30,Lone Fire,Butte,CAL FIRE Butte Unit,298.0,3.0,3.0,26.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,4.0,2013-06-03T13:49:00Z,2013-06-03T20:00:00Z,-121.576804,39.434183,1a5192f1-bc99-4130-8683-381e0534b76a
31,152 Fire,Merced,CAL FIRE Madera-Mariposa-Merced Unit,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-04T15:42:00Z,2013-06-05T08:30:00Z,-121.006939,37.03776,f9e85371-fc46-4f54-822c-7dcdaadde551
32,Lake Fire,Lake,CAL FIRE Sonoma-Lake-Napa Unit,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-05T16:05:00Z,2013-06-06T07:00:00Z,-122.703193,38.99233,dcb21e64-9d38-47c2-848b-e8e0dea5c2de
33,Vasco Fire,Alameda,CAL FIRE Santa Clara Unit,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-08T10:16:00Z,2013-06-08T13:25:00Z,-121.737213,37.775057,2ad509e4-99f1-4e1a-81eb-839f772f9c45
34,Viper Fire,Riverside,CAL FIRE/Riverside County Fire,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-08T15:37:00Z,2013-06-08T19:00:00Z,-117.1265,33.96936,e9505435-e861-4f33-9069-b0040fb2a135
35,Hathaway Fire,Riverside,USFS San Bernardino National Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-09T12:30:00Z,2013-06-09T16:45:00Z,-116.84137,33.99647,befb9d5c-c0ea-48b8-8589-2586be0275af
36,Northern California Lightning Activity,Shasta,California Northern Region,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-10T00:46:00Z,2013-06-14T16:30:00Z,-121.5747,39.9845,369e41d4-75a6-4be0-a38a-5f7450553631
37,Sonoma-Lake-Napa Unit Lightning Fires,"Sonoma, Solano, Lake, Colusa",CAL FIRE Sonoma-Lake-Napa Unit,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-10T00:46:00Z,2013-06-14T15:45:00Z,-122.0437,38.4229,5ce45b6c-81b5-422c-9078-8c68dd872c8a
38,Revis Fire,Madera,CAL FIRE Madera-Mariposa-Merced Unit,75.0,15.0,13.0,13.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,13.0,2013-06-12T16:40:00Z,2013-06-14T16:30:00Z,-119.75636,37.169379,7055a440-5d4c-4f58-bac9-2954ff6698a5
39,Roadrunner Fire,Amador,CAL FIRE Amador-El Dorado Unit,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-12T16:43:00Z,2013-06-13T09:45:00Z,-120.966016,38.27783,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90
40,PFE Fire,Placer,CAL FIRE/Placer County Fire,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-13T11:28:00Z,2013-06-13T14:15:00Z,-121.380862,38.729297,fe47b1c2-b9c0-44be-8d10-f270056db35c
41,Clinton Fire,Fresno,CAL FIRE/Fresno County Fire,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-13T11:54:00Z,2013-06-13T21:30:00Z,-119.628389,36.772425,a2cfda2a-21c1-4e45-90b5-37d931b4a926
42,Michelle Fire,Fresno,CAL FIRE/Fresno County Fire,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-13T15:54:00Z,2013-06-13T21:30:00Z,-119.558244,36.763367,953f17a1-2034-467b-b48c-28da1a9af60e
43,Palmyrita Fire,Riverside,CAL FIRE/Riverside County Fire,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-14T13:47:00Z,2013-06-15T08:00:00Z,-117.302057,34.001745,2d1f0c40-92e7-4540-991b-d353ed68ec6c
44,Carstens Fire,Mariposa,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,1708.0,2.0,0.0,0.0,0.0,0.0,1.0,112.0,0.0,0.0,0.0,4.0,2013-06-16T14:12:00Z,2013-06-26T11:15:00Z,-119.91071,37.58202,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1
45,Rolling Fire,Madera,CAL FIRE Madera-Mariposa-Merced Unit,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-06-16T18:17:00Z,2013-06-18T19:30:00Z,-119.78106,37.015575,05d0fed7-8502-4a6f-9c5c-b9cee0e75408
46,Sierra Fire,Fresno,CAL FIRE/Fresno County Fire,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-17T14:41:00Z,2013-06-19T08:45:00Z,-119.463757,37.03087,15e7e15d-f707-473e-b0f3-6534cfd845b7
47,California Fire,Solano,CAL FIRE Sanoma-Lake-Napa Unit,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-18T15:18:00Z,2013-06-18T22:30:00Z,-122.13802,38.08744,2b403f03-fe84-450a-90b7-befb8acc7e70
48,Mount Fire,Lake,CAL FIRE Sanoma-Lake-Napa Unit,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-20T14:29:00Z,2013-06-20T13:15:00Z,-122.81796,38.98058,d489b45e-dcba-4eaa-8bb5-6a23255562da
49,George Fire,Fresno,CAL FIRE/Fresno County Fire,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-25T13:36:00Z,2013-06-25T17:15:00Z,-119.2248,36.7218,23ec2f69-da30-4983-80c2-1f04bfea6f9a
50,Mills Fire,San Bernardino,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,534.0,29.0,29.0,29.0,0.0,29.0,0.0,282.0,1.0,0.0,0.0,29.0,2013-06-28T14:30:00Z,2013-07-01T06:00:00Z,-117.048397,34.071556,6011819c-19ac-46c2-aa48-0ee8be0e48c0
51,Freeman Fire,Monterey,CAL FIRE San Benito-Monterey Unit ,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-29T14:09:00Z,2013-06-29T18:30:00Z,-120.8973,36.1531,58317b8d-7f4d-466f-b2c7-035c25fb00f0
52,Kirker Fire,Contra Costa,CAL FIRE Santa Clara Unit,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-01T13:19:00Z,2013-07-01T18:40:00Z,-121.91453,37.96866,522114fe-ada8-49a9-9bb2-5891103ff0ca
53,Concord Fire,Contra Costa,CAL FIRE Santa Clara Unit,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-01T15:41:00Z,2013-07-01T18:30:00Z,-121.74367,39.90465,95399a9c-8b3e-4413-9f56-5ed57d3d81b3
54,Northern Region July Lightning,Shasta,CAL FIRE Northern Region,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-02T12:00:00Z,2013-07-04T10:45:00Z,-121.5747,39.9845,42690ee2-a5ed-4320-9a55-d5ff3d1a80f5
55,Fox Fire (formally 3-7 Fire),Modoc,CAL FIRE Lassen-Modoc Unit,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-03T22:56:00Z,2013-07-05T18:30:00Z,-121.035,41.2415,8b51033d-abc6-4ea4-8983-990ad4e1c45e
56,Vina Fire,Tehama,CAL FIRE Tehama-Glenn Unit,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-04T07:30:00Z,2013-07-04T10:30:00Z,-122.079871,40.012398,c94959d7-eb88-4724-8feb-ba0662afca10
57,Grant Fire,Alameda,CAL FIRE Santa Clara Unit,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-04T10:00:00Z,2013-07-04T11:30:00Z,-121.5869,37.7393,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680
58,Chariot Fire,San Diego,CAL FIRE San Diego Unit / Cleveland National Forest,7055.0,56.0,24.0,183.0,0.0,9.0,12.0,2147.0,9.0,149.0,0.0,24.0,2013-07-06T12:55:00Z,2013-07-15T06:15:00Z,-116.47381,32.95435,ee19b2ec-a96a-4738-994e-fb3ea016e053
59,Fallon Fire,Alameda,CAL FIRE Santa Clara Unit / Alameda County Fire,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-06T13:09:00Z,2013-07-06T14:30:00Z,-121.86216,37.74241,4c04a4e5-f580-4e62-bb53-2575c72d29dc
60,Adelaida Fire,San Luis Obispo,CAL FIRE San Luis Obispo,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-07T13:16:00Z,2013-07-07T22:00:00Z,-120.83417,35.62743,a97d2b3a-3a53-424f-852c-5f1b8d199cc3
